Food,Serving (g),calories (cal)
Baked Potato,100.0,122.0
Baked Potato with Sour Cream,100.0,130.0
Boiled Potato,100.0,88.0
Croquettes,100.0,330.0
Curly Fries (McCain),100.0,500.0
French Fries (Burger King),100.0,249.0
French Fries,100.0,75.0
"French Fries, deep-fried",100.0,129.0
Fried Potatoes,100.0,104.0
Gnocchi,100.0,163.0
Hash Browns,100.0,173.0
Khoai Lang,100.0,103.0
Khoai Lang T??m,100.0,116.0
Large French Fries,100.0,289.0
Latkes,100.0,194.0
Mashed Potato with Milk and Butter,100.0,74.0
Mashed Potatoes,100.0,93.0
Potato,100.0,75.0
Potato Flour,100.0,361.0
Potato Pancake,100.0,268.0
"Adzuki Beans, cooked",100.0,128.0
Agurkas,100.0,15.0
Aloe Vera,100.0,2.0
Amaranth Leaves,100.0,23.0
Arame,100.0,300.0
Armenian Cucumber,100.0,17.0
Arracacha,100.0,104.0
Arrowhead,100.0,99.0
Arrowroot,100.0,65.0
Artichoke,100.0,44.0
"Asparagus, cooked",100.0,16.0
"Asparagus, raw",100.0,21.0
Azuki Bean,100.0,361.0
Baked Beans,100.0,105.0
"Baked Beans, canned",100.0,105.0
Bamboo Shoot,100.0,23.0
Banana Pepper,100.0,27.0
Bean Sprouts,100.0,47.0
"Beet Greens, raw",100.0,343.0
Beetroot,100.0,46.0
"Beets, canned",100.0,29.0
"Beets, raw",100.0,46.0
Bell Pepper,100.0,23.0
Bengal Gram,100.0,378.0
Black Beans,100.0,373.0
"Black Beans, cooked",100.0,89.0
Black Chana,100.0,378.0
Black Chickpeas,100.0,348.0
Black Eyed Pea,100.0,400.0
Black Gram,100.0,371.0
"Black Turtle Beans, cooked",100.0,373.0
Bok Choy,100.0,17.0
Broccoli,100.0,34.0
"Broccoli, cooked",100.0,27.0
Brown Lentil,100.0,364.0
Brussels Sprouts,100.0,44.0
Burdock,100.0,72.0
"Butternut Squash, cooked",100.0,30.0
"Butternut Squash, raw",100.0,46.0
Cabbage,100.0,30.0
"Cabbage, cooked",100.0,12.0
"Cabbage, raw",100.0,25.0
"Capers, canned",100.0,23.0
Capsicum,100.0,40.0
Carrot,100.0,39.0
"Carrots, cooked",100.0,23.0
Cattail,100.0,200.0
Cauliflower Rice,100.0,24.0
Cauliflower,100.0,28.0
"Cauliflower, cooked",100.0,28.0
Celeriac,100.0,27.0
"Celery, cooked",100.0,25.0
"Celery, raw",100.0,22.0
Celtuce,100.0,18.0
Cherry Tomato,100.0,20.0
Chickpea,100.0,151.0
"Chickpeas, canned",100.0,135.0
"Chickpeas, raw",100.0,378.0
Chicory,100.0,23.0
Chicory Greens,100.0,23.0
Chili Pepper Leaves,100.0,27.0
Chinese Cabbage,100.0,17.0
Collard Greens,100.0,32.0
Common Bean,100.0,111.0
Common Purslane,100.0,20.0
Cooked Beetroot,100.0,43.0
Cooked Chickpeas,100.0,140.0
Corn Kernel,100.0,71.0
Corn on Cob,100.0,45.0
Corn on the Cob with Butter,100.0,249.0
"Corn, canned",100.0,81.0
"Corn, cooked",100.0,94.0
"Cranberry Beans, cooked",100.0,136.0
Creamed Spinach,100.0,62.0
Cucamber,100.0,14.0
"Cucumber, peeled",100.0,10.0
Daikon,100.0,38.0
Dandelion,100.0,47.0
Daylily,100.0,42.0
Dill Pickles,100.0,439.0
Dock,100.0,22.0
Dried Tomatoes,100.0,78.0
Eggplant,100.0,20.0
Elephant Foot Yam,100.0,118.0
Elephant Garlic,100.0,125.0
Fava Bean,100.0,89.0
"Fava Beans, canned",100.0,71.0
Fennel,100.0,23.0
Fiddlehead,100.0,34.0
Flageolet,100.0,346.0
Garbanzo,100.0,478.0
Garland Chrysanthemum,100.0,24.0
Garlic,100.0,143.0
Good King Henry,100.0,74.0
Gourd,100.0,20.0
Grape Leaves,100.0,130.0
Grape Tomatoes,100.0,31.0
Green,100.0,500.0
Green Beans,100.0,39.0
"Green Beans, cooked",100.0,41.0
"Green Beans, steamed",100.0,51.0
Green Chili Pepper,100.0,40.0
Green Gram,100.0,313.0
Green Lentil,100.0,352.0
Green Onion,100.0,32.0
Green Peas,100.0,91.0
Green Tomato,100.0,28.0
Grilled Mixed Vegetables,100.0,91.0
Habanero,100.0,40.0
Heart of Palm,100.0,44.0
Horse Gram,100.0,89.0
Horseradish,100.0,78.0
Hot Pepper,100.0,40.0
Hyacinth Bean,100.0,71.0
Ivy gourd,100.0,20.0
Jalapeno,100.0,29.0
Japanese Sweet Potatoes,100.0,88.0
Jerusalem Artichoke,100.0,53.0
J??cama,100.0,311.0
Kale,100.0,45.0
"Kale, cooked",100.0,44.0
"Kale, raw",100.0,43.0
Kelp,100.0,380.0
Kidney Beans,100.0,298.0
Kimchi,100.0,15.0
Komatsuna,100.0,22.0
Kombu,100.0,250.0
Kumara,100.0,116.0
Lamb's Quarters,100.0,43.0
Laver Seaweed,100.0,35.0
Leaf Celery,100.0,28.0
Leek,100.0,31.0
Lentil,100.0,331.0
Lentil Sprouts,100.0,106.0
Lentils cooked,100.0,87.0
Lima Bean,100.0,70.0
"Lima Beans, canned",100.0,45.0
Lotus Root,100.0,74.0
Luffa,100.0,20.0
Malabar spinach,100.0,498.0
Mallow,100.0,272.0
Masoor Dal,100.0,368.0
Mixed Vegetable Salad,100.0,56.0
"Mixed Vegetables, steamed",100.0,59.0
Mizuna Greens,100.0,29.0
Moong Dal,100.0,313.0
Moringa Leaves,100.0,204.0
Moringa Powder,100.0,300.0
Moth Bean,100.0,343.0
Mozuku,100.0,48.0
Mung Bean,100.0,313.0
"Mung Beans, cooked",100.0,357.0
"Mushrooms, enoki",100.0,44.0
Mustard Greens,100.0,500.0
Napa Cabbage,100.0,351.0
"Napa Cabbage, cooked",100.0,105.0
Natto,100.0,207.0
Navy Bean,100.0,384.0
"Navy Beans, canned",100.0,368.0
New Zealand Spinach,100.0,14.0
Okara,100.0,220.0
Okra,100.0,147.0
"Okra, cooked",100.0,237.0
"Onion, cooked",100.0,30.0
"Onion, minced",100.0,30.0
"Onion, raw",100.0,30.0
Parsnip,100.0,64.0
Pea,100.0,91.0
"Peanuts, roasted",100.0,599.0
Pearl Onion,100.0,208.0
"Peas, canned",100.0,63.0
"Peas, cooked",100.0,84.0
Pickle Relish,100.0,130.0
Pickle,100.0,28.0
Pigeon Pea,100.0,282.0
Pinto Beans,100.0,263.0
"Pinto Beans, canned",100.0,310.0
"Pinto Beans, cooked",100.0,213.0
Poi,100.0,243.0
Pointed gourd,100.0,20.0
Poke,100.0,368.0
Potato onion,100.0,38.0
Pumpkin,100.0,29.0
Pumpkin Flower,100.0,15.0
"Pumpkin, canned",100.0,34.0
"Pumpkin, cooked",100.0,20.0
Puy Lentils,100.0,36.0
Radicchio,100.0,17.0
Radish,100.0,17.0
Rapa Cabbage,100.0,28.0
Red Beans,100.0,53.0
Red Bell Pepper,100.0,44.0
"Red Cabbage, cooked",100.0,25.0
"Red Cabbage, raw",100.0,27.0
Red Lentils,100.0,367.0
Red Onion,100.0,30.0
Red Spinach,100.0,25.0
Refried Beans,100.0,83.0
Ridged Gourd,100.0,13.0
Roasted Asparagus,100.0,47.0
Roasted Carrots,100.0,40.0
Roma Tomato,100.0,20.0
Runner Bean,100.0,39.0
Rutabaga,100.0,36.0
Salsify,100.0,517.0
Sea Beet,100.0,21.0
Sea Lettuce,100.0,130.0
Serrano Pepper,100.0,473.0
Shallot,100.0,25.0
Shepherd's Purse,100.0,103.0
Siling Haba,100.0,44.0
Skirret,100.0,95.0
Snake Gourd,100.0,21.0
Sorrel,100.0,26.0
Sour Cabbage,100.0,21.0
Sour Pickles,100.0,13.0
Soybean,100.0,149.0
"Soybean, cooked",100.0,172.0
"Spaghetti Squash, cooked",100.0,166.0
Spinach,100.0,22.0
Spinach canned,100.0,52.0
"Spinach, cooked",100.0,19.0
Spirulina,100.0,26.0
Split Peas cooked,100.0,118.0
Steamed Broccoli,100.0,36.0
Stewed Tomatoes canned,100.0,21.0
String Beans,100.0,39.0
Sugar Peas,100.0,69.0
Swamp Cabbage,100.0,19.0
Swede,100.0,36.0
Sweet Onion,100.0,446.0
Sweet Pickles,100.0,60.0
"Sweet Potato Leaves, cooked",100.0,382.0
"Sweet Potato, baked",100.0,64.0
"Sweet Potato, boiled",100.0,124.0
Sweet potato Leaves,100.0,221.0
Sweetcorn,100.0,94.0
Swiss chard,100.0,21.0
Tang,100.0,47.0
Taro,100.0,108.0
Tatsoi,100.0,400.0
Tepary Bean,100.0,571.0
Textured Soy Protein,100.0,446.0
Textured Vegetable Protein,100.0,197.0
Tinda,100.0,336.0
Tomato,100.0,20.0
"Tomato, cooked",100.0,22.0
Turnip,100.0,39.0
Turnip Greens,100.0,32.0
Urad bean,100.0,429.0
Vegetable Stock,100.0,24.0
Velvet bean,100.0,334.0
Wakame,100.0,178.0
Water Spinach,100.0,515.0
White Beans,100.0,120.0
"White Beans, canned",100.0,71.0
"White Beans, cooked",100.0,127.0
White Icicle Radish,100.0,80.0
Wild leek,100.0,61.0
Winged bean,100.0,49.0
Winter Squash,100.0,395.0
Yam Bean,100.0,656.0
"Yellow Beans, cooked",100.0,39.0
Yellow Bell Pepper,100.0,37.0
Yellow Lentils,100.0,354.0
Yellow Paprika,100.0,37.0
Yellow Tomato,100.0,15.0
Yucca,100.0,141.0
Yukon Gold Potatoes,100.0,196.0
Zeytin,100.0,116.0
Zucchini cooked,100.0,24.0
Zucchini,100.0,23.0
"Zucchini, raw/fresh",100.0,23.0
"Adzuki Beans, cooked",100.0,128.0
Agurkas,100.0,15.0
Aloe Vera,100.0,2.0
Amaranth Leaves,100.0,23.0
Arame,100.0,300.0
Armenian Cucumber,100.0,17.0
Arracacha,100.0,104.0
Arrowhead,100.0,99.0
Arrowroot,100.0,65.0
Artichoke,100.0,44.0
"Asparagus, cooked",100.0,16.0
"Asparagus, raw",100.0,21.0
Azuki Bean,100.0,361.0
Baked Beans,100.0,105.0
"Baked Beans, canned",100.0,105.0
Bamboo Shoot,100.0,23.0
Banana Pepper,100.0,27.0
Bean Sprouts,100.0,47.0
"Beet Greens, raw",100.0,343.0
Beetroot,100.0,46.0
"Beets, canned",100.0,29.0
"Beets, raw",100.0,46.0
Bell Pepper,100.0,23.0
Bengal Gram,100.0,378.0
Black Beans,100.0,373.0
"Black Beans, cooked",100.0,89.0
Black Chana,100.0,378.0
Black Chickpeas,100.0,348.0
Black Eyed Pea,100.0,400.0
Black Gram,100.0,371.0
"Black Turtle Beans, cooked",100.0,373.0
Bok Choy,100.0,17.0
Broccoli,100.0,34.0
"Broccoli, cooked",100.0,27.0
Brown Lentil,100.0,364.0
Brussels Sprouts,100.0,44.0
Burdock,100.0,72.0
"Butternut Squash, cooked",100.0,30.0
"Butternut Squash, raw",100.0,46.0
Cabbage,100.0,30.0
"Cabbage, cooked",100.0,12.0
"Cabbage, raw",100.0,25.0
"Capers, canned",100.0,23.0
Capsicum,100.0,40.0
Carrot,100.0,39.0
"Carrots, cooked",100.0,23.0
Cattail,100.0,200.0
Cauliflower Rice,100.0,24.0
Cauliflower,100.0,28.0
"Cauliflower, cooked",100.0,28.0
Celeriac,100.0,27.0
"Celery, cooked",100.0,25.0
"Celery, raw",100.0,22.0
Celtuce,100.0,18.0
Cherry Tomato,100.0,20.0
Chickpea,100.0,151.0
"Chickpeas, canned",100.0,135.0
"Chickpeas, raw",100.0,378.0
Chicory,100.0,23.0
Chicory Greens,100.0,23.0
Chili Pepper Leaves,100.0,27.0
Chinese Cabbage,100.0,17.0
Collard Greens,100.0,32.0
Common Bean,100.0,111.0
Common Purslane,100.0,20.0
Cooked Beetroot,100.0,43.0
Cooked Chickpeas,100.0,140.0
Corn Kernel,100.0,71.0
Corn on Cob,100.0,45.0
Corn on the Cob with Butter,100.0,249.0
"Corn, canned",100.0,81.0
"Corn, cooked",100.0,94.0
"Cranberry Beans, cooked",100.0,136.0
Creamed Spinach,100.0,62.0
Cucamber,100.0,14.0
"Cucumber, peeled",100.0,10.0
Daikon,100.0,38.0
Dandelion,100.0,47.0
Daylily,100.0,42.0
Dill Pickles,100.0,439.0
Dock,100.0,22.0
Dried Tomatoes,100.0,78.0
Eggplant,100.0,20.0
Elephant Foot Yam,100.0,118.0
Elephant Garlic,100.0,125.0
Fava Bean,100.0,89.0
"Fava Beans, canned",100.0,71.0
Fennel,100.0,23.0
Fiddlehead,100.0,34.0
Flageolet,100.0,346.0
Garbanzo,100.0,478.0
Garland Chrysanthemum,100.0,24.0
Garlic,100.0,143.0
Good King Henry,100.0,74.0
Gourd,100.0,20.0
Grape Leaves,100.0,130.0
Grape Tomatoes,100.0,31.0
Green,100.0,500.0
Green Beans,100.0,39.0
"Green Beans, cooked",100.0,41.0
"Green Beans, steamed",100.0,51.0
Green Chili Pepper,100.0,40.0
Green Gram,100.0,313.0
Green Lentil,100.0,352.0
Green Onion,100.0,32.0
Green Peas,100.0,91.0
Green Tomato,100.0,28.0
Grilled Mixed Vegetables,100.0,91.0
Habanero,100.0,40.0
Heart of Palm,100.0,44.0
Horse Gram,100.0,89.0
Horseradish,100.0,78.0
Hot Pepper,100.0,40.0
Hyacinth Bean,100.0,71.0
Ivy gourd,100.0,20.0
Jalapeno,100.0,29.0
Japanese Sweet Potatoes,100.0,88.0
Jerusalem Artichoke,100.0,53.0
J??cama,100.0,311.0
Kale,100.0,45.0
"Kale, cooked",100.0,44.0
"Kale, raw",100.0,43.0
Kelp,100.0,380.0
Kidney Beans,100.0,298.0
Kimchi,100.0,15.0
Komatsuna,100.0,22.0
Kombu,100.0,250.0
Kumara,100.0,116.0
Lamb's Quarters,100.0,43.0
Laver Seaweed,100.0,35.0
Leaf Celery,100.0,28.0
Leek,100.0,31.0
Lentil,100.0,331.0
Lentil Sprouts,100.0,106.0
Lentils cooked,100.0,87.0
Lima Bean,100.0,70.0
"Lima Beans, canned",100.0,45.0
Lotus Root,100.0,74.0
Luffa,100.0,20.0
Malabar spinach,100.0,498.0
Mallow,100.0,272.0
Masoor Dal,100.0,368.0
Mixed Vegetable Salad,100.0,56.0
"Mixed Vegetables, steamed",100.0,59.0
Mizuna Greens,100.0,29.0
Moong Dal,100.0,313.0
Moringa Leaves,100.0,204.0
Moringa Powder,100.0,300.0
Moth Bean,100.0,343.0
Mozuku,100.0,48.0
Mung Bean,100.0,313.0
"Mung Beans, cooked",100.0,357.0
"Mushrooms, enoki",100.0,44.0
Mustard Greens,100.0,500.0
Napa Cabbage,100.0,351.0
"Napa Cabbage, cooked",100.0,105.0
Natto,100.0,207.0
Navy Bean,100.0,384.0
"Navy Beans, canned",100.0,368.0
New Zealand Spinach,100.0,14.0
Okara,100.0,220.0
Okra,100.0,147.0
"Okra, cooked",100.0,237.0
"Onion, cooked",100.0,30.0
"Onion, minced",100.0,30.0
"Onion, raw",100.0,30.0
Parsnip,100.0,64.0
Pea,100.0,91.0
"Peanuts, roasted",100.0,599.0
Pearl Onion,100.0,208.0
"Peas, canned",100.0,63.0
"Peas, cooked",100.0,84.0
Pickle Relish,100.0,130.0
Pickle,100.0,28.0
Pigeon Pea,100.0,282.0
Pinto Beans,100.0,263.0
"Pinto Beans, canned",100.0,310.0
"Pinto Beans, cooked",100.0,213.0
Poi,100.0,243.0
Pointed gourd,100.0,20.0
Poke,100.0,368.0
Potato onion,100.0,38.0
Pumpkin,100.0,29.0
Pumpkin Flower,100.0,15.0
"Pumpkin, canned",100.0,34.0
"Pumpkin, cooked",100.0,20.0
Puy Lentils,100.0,36.0
Radicchio,100.0,17.0
Radish,100.0,17.0
Rapa Cabbage,100.0,28.0
Red Beans,100.0,53.0
Red Bell Pepper,100.0,44.0
"Red Cabbage, cooked",100.0,25.0
"Red Cabbage, raw",100.0,27.0
Red Lentils,100.0,367.0
Red Onion,100.0,30.0
Red Spinach,100.0,25.0
Refried Beans,100.0,83.0
Ridged Gourd,100.0,13.0
Roasted Asparagus,100.0,47.0
Roasted Carrots,100.0,40.0
Roma Tomato,100.0,20.0
Runner Bean,100.0,39.0
Rutabaga,100.0,36.0
Salsify,100.0,517.0
Sea Beet,100.0,21.0
Sea Lettuce,100.0,130.0
Serrano Pepper,100.0,473.0
Shallot,100.0,25.0
Shepherd's Purse,100.0,103.0
Siling Haba,100.0,44.0
Skirret,100.0,95.0
Snake Gourd,100.0,21.0
Sorrel,100.0,26.0
Sour Cabbage,100.0,21.0
Sour Pickles,100.0,13.0
Soybean,100.0,149.0
"Soybean, cooked",100.0,172.0
"Spaghetti Squash, cooked",100.0,166.0
Spinach,100.0,22.0
Spinach canned,100.0,52.0
"Spinach, cooked",100.0,19.0
Spirulina,100.0,26.0
Split Peas cooked,100.0,118.0
Steamed Broccoli,100.0,36.0
Stewed Tomatoes canned,100.0,21.0
String Beans,100.0,39.0
Sugar Peas,100.0,69.0
Swamp Cabbage,100.0,19.0
Swede,100.0,36.0
Sweet Onion,100.0,446.0
Sweet Pickles,100.0,60.0
"Sweet Potato Leaves, cooked",100.0,382.0
"Sweet Potato, baked",100.0,64.0
"Sweet Potato, boiled",100.0,124.0
Sweet potato Leaves,100.0,221.0
Sweetcorn,100.0,94.0
Swiss chard,100.0,21.0
Tang,100.0,47.0
Taro,100.0,108.0
Tatsoi,100.0,400.0
Tepary Bean,100.0,571.0
Textured Soy Protein,100.0,446.0
Textured Vegetable Protein,100.0,197.0
Tinda,100.0,336.0
Tomato,100.0,20.0
"Tomato, cooked",100.0,22.0
Turnip,100.0,39.0
Turnip Greens,100.0,32.0
Urad bean,100.0,429.0
Vegetable Stock,100.0,24.0
Velvet bean,100.0,334.0
Wakame,100.0,178.0
Water Spinach,100.0,515.0
White Beans,100.0,120.0
"White Beans, canned",100.0,71.0
"White Beans, cooked",100.0,127.0
White Icicle Radish,100.0,80.0
Wild leek,100.0,61.0
Winged bean,100.0,49.0
Winter Squash,100.0,395.0
Yam Bean,100.0,656.0
"Yellow Beans, cooked",100.0,39.0
Yellow Bell Pepper,100.0,37.0
Yellow Lentils,100.0,354.0
Yellow Paprika,100.0,37.0
Yellow Tomato,100.0,15.0
Yucca,100.0,141.0
Yukon Gold Potatoes,100.0,196.0
Zeytin,100.0,116.0
Zucchini cooked,100.0,24.0
Zucchini,100.0,23.0
"Zucchini, raw/fresh",100.0,23.0
Split Peas cooked,100.0,118.0
Steamed Broccoli,100.0,36.0
Stewed Tomatoes canned,100.0,21.0
String Beans,100.0,39.0
Sugar Peas,100.0,69.0
Swamp Cabbage,100.0,19.0
Swede,100.0,36.0
Sweet Onion,100.0,446.0
Sweet Pickles,100.0,60.0
"Sweet Potato Leaves, cooked",100.0,382.0
"Sweet Potato, baked",100.0,64.0
"Sweet Potato, boiled",100.0,124.0
Sweet potato Leaves,100.0,221.0
Sweetcorn,100.0,94.0
Swiss chard,100.0,21.0
Tang,100.0,47.0
Taro,100.0,108.0
Tatsoi,100.0,400.0
Tepary Bean,100.0,571.0
Textured Soy Protein,100.0,446.0
Textured Vegetable Protein,100.0,197.0
Tinda,100.0,336.0
Tomato,100.0,20.0
"Tomato, cooked",100.0,22.0
Turnip,100.0,39.0
Turnip Greens,100.0,32.0
Urad bean,100.0,429.0
Vegetable Stock,100.0,24.0
Velvet bean,100.0,334.0
Wakame,100.0,178.0
Water Spinach,100.0,515.0
White Beans,100.0,120.0
"White Beans, canned",100.0,71.0
"White Beans, cooked",100.0,127.0
White Icicle Radish,100.0,80.0
Wild leek,100.0,61.0
Winged bean,100.0,49.0
Winter Squash,100.0,395.0
Yam Bean,100.0,656.0
"Yellow Beans, cooked",100.0,39.0
Yellow Bell Pepper,100.0,37.0
Yellow Lentils,100.0,354.0
Yellow Paprika,100.0,37.0
Yellow Tomato,100.0,15.0
Yucca,100.0,141.0
Yukon Gold Potatoes,100.0,196.0
Zeytin,100.0,116.0
Zucchini cooked,100.0,24.0
Zucchini,100.0,23.0
"Zucchini, raw/fresh",100.0,23.0
Split Peas cooked,100.0,118.0
